station,time,train,platform,route,delayedTime,information,timestampScraping
Heidelberg,15:43,S 3,5,Heidelberg Hbf 15:43 - Heidelberg-Pfaffengrund/Wieblingen 15:45,15:44,,2021-12-24 14:48:01.535689
Heidelberg,15:44,Bus 33,"Hauptbahnhof, Heidelberg","Hauptbahnhof, Heidelberg 15:44 - Stadtbücherei, Heidelberg 15:47 - Seegarten, Heidelberg 15:48 - Bismarckplatz, Heidelberg 15:49",15:44,,2021-12-24 14:48:01.537079
Heidelberg,15:44,STR 22,"Bahnstadt Hauptbahnhof Süd, Heidelberg","Bahnstadt Hauptbahnhof Süd, Heidelberg 15:44 - Montpellierbrücke, Heidelberg 15:46 - Ringstraße, Heidelberg 15:47 -",15:44,Änderung im Fahrtverlauf!,2021-12-24 14:48:01.538431
Heidelberg,15:46,IC 2184,3,Heidelberg Hbf 15:46 - Weinheim(Bergstr)Hbf 15:58 - Bensheim 16:08 - Darmstadt Hbf 16:22 - Frankfurt(Main)Hbf 16:40 - Frankfurt(Main)West 16:53 - Friedberg(Hess) 17:15 - Gießen 17:33 - Marburg(Lahn) 17:49 - Treysa 18:14 - Wabern(Bz Kassel) 18:32 - Kassel-Wilhelmshöhe 18:54 - Göttingen 19:16 - Hannover Hbf 19:56 - Celle 20:17 - Uelzen 20:40 - Lüneburg 20:56 - Hamburg-Harburg 21:16 - Hamburg Hbf 21:29 - Hamburg Dammtor 21:36 - Hamburg-Altona 21:46,,,2021-12-24 14:48:01.539566
Heidelberg,15:46,Bus 32,"Hauptbahnhof, Heidelberg","Hauptbahnhof, Heidelberg 15:46 - Betriebshof, Heidelberg 15:48 - Neuenheim Jahnstraße, Heidelberg 15:50 - Neuenheim Kirschnerstraße, Heidelberg 15:52",,,2021-12-24 14:48:01.540865
Heidelberg,15:47,Bus 735,"Hauptbahnhof, Heidelberg","Hauptbahnhof, Heidelberg 15:47 - Stadtbücherei, Heidelberg 15:49 - Seegarten, Heidelberg 15:50 - Bismarckplatz, Heidelberg 15:52",,,2021-12-24 14:48:01.542208
Heidelberg,15:47,Bus 721,"Bahnstadt Hauptbahnhof Süd, Heidelberg","Bahnstadt Hauptbahnhof Süd, Heidelberg 15:47 - Bahnstadt Schwetzinger Terrasse, Heidelberg 15:49 - SNP dome, Heidelberg 15:50 - Kirchheim Im Bieth, Heidelberg 15:52",,,2021-12-24 14:48:01.543466
Heidelberg,15:47,STR 26,"Bahnstadt Hauptbahnhof Süd, Heidelberg","Bahnstadt Hauptbahnhof Süd, Heidelberg 15:47 - Bahnstadt Gadamerplatz, Heidelberg 15:48",15:47,,2021-12-24 14:48:01.544760
Heidelberg,15:47,RNV 5,"Hauptbahnhof, Heidelberg","Hauptbahnhof, Heidelberg 15:47 - Gneisenaustraße Süd, Heidelberg 15:48",,,2021-12-24 14:48:01.546001
Heidelberg,15:48,S 3,8,Heidelberg Hbf 15:48 - Heidelberg-Kirchheim/Rohrbach 15:50,15:48,,2021-12-24 14:48:01.547145
